Country,code,ISTP,INTJ,ENTP,ESFP,ENTJ,ISFP,INFJ,INTP,ISTJ,ESTP,ENFJ,ISFJ,ENFP,INFP,ESFJ,ESTJ,ESTJ-A,ESFJ-A,INFP-T,ESFJ-T,ENFP-T,ENFP-A,ESTJ-T,ISFJ-T,ENFJ-A,ESTP-A,ISTJ-A,INTP-T,INFJ-T,ISFP-T,ENTJ-A,ESTP-T,ISTJ-T,ESFP-T,ENTP-A,ESFP-A,INTJ-T,ISFJ-A,INTP-A,ENTP-T,ISTP-T,ENTJ-T,ISTP-A,INFP-A,ENFJ-T,INTJ-A,ISFP-A,INFJ_A
Uganda,UGA,0.0214,0.036,0.0439,0.0647,0.0343,0.0546,0.0675,0.0412,0.042,0.0298,0.0726,0.0859,0.1063,0.0945,0.1402,0.0651,0.0455,0.0963,0.0647,0.0439,0.0595,0.0468,0.0196,0.0463,0.0416,0.0173,0.0241,0.0228,0.0428,0.0329,0.0204,0.0125,0.0179,0.0303,0.0221,0.0344,0.0171,0.0396,0.0184,0.0218,0.0121,0.0139,0.0093,0.0298,0.031,0.0189,0.0217,0.0247
Ukraine,UKR,0.0382,0.0627,0.0733,0.0326,0.0558,0.0333,0.0561,0.0964,0.0553,0.0353,0.0592,0.052,0.0977,0.0997,0.0718,0.0804,0.0593,0.0475,0.0808,0.0243,0.0636,0.0341,0.0211,0.0304,0.031,0.0219,0.0311,0.0608,0.042,0.0219,0.0349,0.0134,0.0242,0.0165,0.039,0.0161,0.0334,0.0216,0.0356,0.0343,0.0171,0.0209,0.0211,0.0189,0.0282,0.0293,0.0114,0.0141
United Arab Emirates,ARE,0.0211,0.0319,0.053,0.0606,0.0379,0.0508,0.0671,0.0483,0.0303,0.0292,0.0833,0.0617,0.1355,0.1214,0.1099,0.0583,0.0405,0.0684,0.0973,0.0415,0.0868,0.0487,0.0178,0.0376,0.0391,0.0172,0.0153,0.0306,0.0498,0.0355,0.0224,0.012,0.015,0.0325,0.0269,0.0281,0.0175,0.0241,0.0177,0.0261,0.0116,0.0155,0.0095,0.0241,0.0442,0.0144,0.0153,0.0173
United Kingdom,GBR,0.0212,0.0323,0.0485,0.0504,0.0258,0.0523,0.0798,0.0591,0.0303,0.0224,0.0739,0.0762,0.1437,0.1601,0.088,0.036,0.026,0.0492,0.1357,0.0388,0.0943,0.0494,0.01,0.0529,0.0307,0.0148,0.016,0.039,0.0653,0.038,0.0152,0.0076,0.0143,0.0263,0.0253,0.0241,0.019,0.0233,0.0201,0.0232,0.0111,0.0106,0.0101,0.0244,0.0432,0.0133,0.0143,0.0145
United States,USA,0.0225,0.0326,0.0469,0.0479,0.0257,0.0515,0.0755,0.0573,0.0356,0.0232,0.071,0.0758,0.1347,0.1507,0.0831,0.038,0.027,0.0504,0.1208,0.0327,0.0831,0.0516,0.011,0.0471,0.0339,0.0149,0.0199,0.036,0.0567,0.0343,0.0155,0.0083,0.0157,0.0232,0.0242,0.0247,0.0175,0.0287,0.0213,0.0227,0.0112,0.0102,0.0113,0.0299,0.0371,0.0151,0.0172,0.0188
Uruguay,URY,0.0262,0.0567,0.0529,0.0337,0.0284,0.0392,0.0901,0.0993,0.0362,0.0197,0.0659,0.0476,0.1357,0.1895,0.0486,0.0301,0.0203,0.0282,0.1537,0.0204,0.0824,0.0533,0.0098,0.0293,0.0298,0.0125,0.0197,0.064,0.0681,0.0275,0.0168,0.0072,0.0165,0.0172,0.0287,0.0165,0.0337,0.0183,0.0353,0.0242,0.0135,0.0116,0.0127,0.0358,0.0361,0.023,0.0117,0.022
Uzbekistan,UZB,0.029,0.0445,0.079,0.0409,0.0681,0.029,0.049,0.0627,0.06,0.0363,0.0654,0.0717,0.1017,0.0718,0.0853,0.1054,0.0772,0.049,0.0609,0.0363,0.0663,0.0354,0.0282,0.0463,0.0309,0.0209,0.03,0.0391,0.0336,0.0163,0.0445,0.0154,0.03,0.0209,0.0363,0.02,0.0245,0.0254,0.0236,0.0427,0.0163,0.0236,0.0127,0.0109,0.0345,0.02,0.0127,0.0154
Vanuatu,VUT,0.021,0.0335,0.0503,0.1046,0.0126,0.0753,0.0837,0.0293,0.0377,0.021,0.0795,0.0627,0.1297,0.1213,0.0837,0.067,0.0544,0.0502,0.1004,0.0335,0.0711,0.0586,0.0126,0.0209,0.0293,0.0126,0.0251,0.0167,0.046,0.0544,0.0084,0.0084,0.0126,0.0544,0.0377,0.0502,0.0126,0.0418,0.0126,0.0126,0.0126,0.0042,0.0084,0.0209,0.0502,0.0209,0.0209,0.0377
Vietnam,VNM,0.0279,0.0297,0.0428,0.0656,0.0282,0.0718,0.0615,0.055,0.0342,0.0291,0.0666,0.0732,0.1193,0.1447,0.1024,0.0481,0.0325,0.0617,0.1187,0.0407,0.0806,0.0387,0.0156,0.0491,0.0315,0.0152,0.0163,0.0371,0.0462,0.0536,0.0167,0.0139,0.0179,0.038,0.0198,0.0276,0.0177,0.0241,0.0179,0.023,0.0173,0.0115,0.0106,0.026,0.0351,0.012,0.0182,0.0153
Yemen,YEM,0.0354,0.0546,0.069,0.0565,0.0498,0.0383,0.0556,0.0929,0.0459,0.0325,0.0689,0.0479,0.1188,0.1101,0.0642,0.0594,0.0479,0.045,0.0862,0.0192,0.0805,0.0383,0.0115,0.0287,0.0268,0.0172,0.0239,0.0603,0.0489,0.0316,0.0268,0.0153,0.022,0.0326,0.0374,0.0239,0.0354,0.0192,0.0326,0.0316,0.0201,0.023,0.0153,0.0239,0.0421,0.0192,0.0067,0.0067
Zambia,ZMB,0.0203,0.0426,0.0445,0.0559,0.0435,0.0542,0.08,0.0533,0.0406,0.0264,0.0726,0.0819,0.0983,0.0977,0.1253,0.063,0.0476,0.0896,0.0711,0.0357,0.0578,0.0405,0.0154,0.0414,0.0436,0.0157,0.0243,0.0332,0.0544,0.0336,0.029,0.0107,0.0163,0.0296,0.0228,0.0263,0.0192,0.0405,0.0201,0.0217,0.0099,0.0145,0.0104,0.0266,0.029,0.0234,0.0206,0.0256
Zimbabwe,ZWE,0.0204,0.0383,0.0526,0.0505,0.0486,0.0436,0.0761,0.0516,0.0372,0.0272,0.0837,0.0741,0.1134,0.1111,0.1134,0.0584,0.0408,0.0783,0.0864,0.0351,0.0674,0.046,0.0176,0.0423,0.0464,0.0152,0.0197,0.0341,0.0547,0.0294,0.0312,0.012,0.0175,0.0251,0.0262,0.0254,0.0201,0.0318,0.0175,0.0264,0.0107,0.0174,0.0097,0.0247,0.0373,0.0182,0.0142,0.0214
